11.525,30.00,30.00,30.00,30.00,30.00,26.69,3.7063,1.9977,2
11.609,30.00,30.00,30.00,30.00,30.00,26.75,3.7069,1.9977,2
11.692,30.00,30.00,30.00,30.00,30.00,26.69,3.7076,1.9977,2
11.776,30.00,30.00,30.00,30.00,30.00,26.69,3.7085,1.9977,2
11.859,30.00,30.00,30.00,30.00,30.00,26.75,3.7091,1.9977,2
11.943,30.00,30.00,30.00,30.00,30.00,26.75,3.7098,1.9977,2
12.026,30.00,30.00,30.00,30.00,30.00,26.69,3.7105,1.9977,2
12.110,30.00,30.00,30.00,30.00,30.00,26.75,3.7113,1.9977,2
12.193,30.00,30.00,30.00,30.00,30.00,26.75,3.712,1.9977,2
12.277,30.00,30.00,30.00,30.00,30.00,26.75,3.7128,1.9977,2
12.360,30.00,30.00,30.00,30.00,30.00,26.75,3.7135,1.9977,2
12.444,30.00,30.00,30.00,30.00,30.00,26.75,3.7143,1.9976,2
12.527,30.00,30.00,30.00,30.00,30.00,26.81,3.715,1.9976,2
12.611,30.00,30.00,30.00,29.75,29.94,26.69,3.7156,1.9976,2
12.694,30.00,30.00,30.00,30.00,30.00,26.75,3.7164,1.9976,2
12.778,30.00,29.75,30.00,30.00,29.94,26.75,3.7172,1.9976,2
12.861,30.00,30.00,30.00,30.00,30.00,26.75,3.7178,1.9976,2
12.945,30.00,30.00,30.00,30.00,30.00,26.81,3.7186,1.9976,2
13.028,30.00,30.00,30.00,30.00,30.00,26.75,3.7193,1.9976,2
13.111,30.00,30.00,30.00,30.00,30.00,26.75,3.72,1.9976,2
13.195,30.00,30.00,30.00,30.00,30.00,26.75,3.7209,1.9976,2
13.278,30.00,30.00,30.00,29.75,29.94,26.69,3.7214,1.9976,2
13.362,30.00,30.00,29.75,30.00,29.94,26.75,3.7221,1.9976,2
13.445,30.00,30.00,30.00,30.00,30.00,26.69,3.7227,1.9976,2
13.529,30.00,30.00,30.00,30.00,30.00,26.69,3.7235,1.9976,2
13.612,30.00,30.00,30.00,30.00,30.00,26.69,3.7242,1.9976,2
13.696,30.00,30.00,30.00,30.00,30.00,26.75,3.7249,1.9976,2
13.779,30.00,30.00,30.00,30.00,30.00,26.75,3.7255,1.9976,2
13.863,30.00,30.00,30.00,30.00,30.00,26.75,3.7262,1.9976,2
13.946,30.00,30.00,30.00,30.00,30.00,26.75,3.727,1.9976,2
