Re,Rugosidad,f
3.76E+07,0.00100,0.019644
4.33E+07,0.00100,0.019643
4.98E+07,0.00100,0.019642
5.72E+07,0.00100,0.019641
6.58E+07,0.00100,0.019640
7.56E+07,0.00100,0.019640
8.7E+07,0.00100,0.019639
1E+08,0.00100,0.019639
1E+02,0.01000,0.173385
1.15E+02,0.01000,0.161549
1.32E+02,0.01000,0.150834
1.52E+02,0.01000,0.141115
1.75E+02,0.01000,0.132280
2.01E+02,0.01000,0.124235
2.31E+02,0.01000,0.116896
2.66E+02,0.01000,0.110191
3.05E+02,0.01000,0.104055
3.51E+02,0.01000,0.098434
4.04E+02,0.01000,0.093276
4.64E+02,0.01000,0.088540
5.34E+02,0.01000,0.084187
6.14E+02,0.01000,0.080182
7.05E+02,0.01000,0.076495
8.11E+02,0.01000,0.073101
9.33E+02,0.01000,0.069973
1.07E+03,0.01000,0.067093
1.23E+03,0.01000,0.064439
1.42E+03,0.01000,0.061995
1.63E+03,0.01000,0.059745
1.87E+03,0.01000,0.057676
2.15E+03,0.01000,0.055775
2.48E+03,0.01000,0.054029
2.85E+03,0.01000,0.052429
3.27E+03,0.01000,0.050965
3.76E+03,0.01000,0.049626
4.33E+03,0.01000,0.048405
4.98E+03,0.01000,0.047294
5.72E+03,0.01000,0.046285
6.58E+03,0.01000,0.045370
7.56E+03,0.01000,0.044543
8.7E+03,0.01000,0.043797
1E+04,0.01000,0.043127
1.15E+04,0.01000,0.042525
1.32E+04,0.01000,0.041985
1.52E+04,0.01000,0.041504
1.75E+04,0.01000,0.041075
2.01E+04,0.01000,0.040694
2.31E+04,0.01000,0.040355
2.66E+04,0.01000,0.040055
3.05E+04,0.01000,0.039790
3.51E+04,0.01000,0.039556
4.04E+04,0.01000,0.039350
4.64E+04,0.01000,0.039169
5.34E+04,0.01000,0.039010
6.14E+04,0.01000,0.038870
7.05E+04,0.01000,0.038747
8.11E+04,0.01000,0.038640
9.33E+04,0.01000,0.038546
1.07E+05,0.01000,0.038464
1.23E+05,0.01000,0.038392
1.42E+05,0.01000,0.038329
1.63E+05,0.01000,0.038274
