Brand_name,TOn,Condenser_Coil,Power_Consumption,RefrigeranT,Noise_level,STAR,Ratings,Price,Image_url
Daikin,1,Copper,848 W, R-32,37 dB,4.1,907,₹32330,https://rukminim1.flixcart.com/image/312/312/kzrbiq80/air-conditioner-new/u/w/x/-original-imagbp2vqegt4raq.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
ONIDA,1.5,Copper,1820 W, R32,45 dB,4.3,5199,₹31499,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70
MarQ,By,Copper,862.9 W, R-32,34 db,4.3,3434,₹33490,https://rukminim1.flixcart.com/image/312/312/ju04akw0/air-conditioner-new/x/t/f/fkac155siains-1-5-split-marq-by-flipkart-inverter-original-imaff85a8yqkyejt.jpeg?q=70
Voltas,0.8,Copper,2500 W,d: No,56 dB,4.2,79,₹26590,https://rukminim1.flixcart.com/image/312/312/jwtkk280/air-conditioner-new/r/b/y/103-dzs-0-8-window-inverter-voltas-original-imafheunzhvrzmgy.jpeg?q=70
Panasonic,1.5,Copper,1168.9 W, R - 32,56 dB,4.0,0,₹33720,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/0/t/f/-original-imagd7cpzvgedwht.jpeg?q=70
Daikin,1,Copper,940 W, R-32,27 dB,0.0,0,₹43499,https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/v/f/i/-original-imagbwukz6jtqj6u.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Haier,1.5,Copper,1451 W, R32,41 dB,0.0,0,₹38490,https://rukminim1.flixcart.com/image/312/312/kpwybgw0/air-conditioner-new/x/c/g/hsu18c-ncb3b-inv-split-haier-inverter-original-imag4fwz3kvehv99.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R32,46 dB,4.8,0,₹42119,https://rukminim1.flixcart.com/image/312/312/l13whow0/air-conditioner-new/f/k/5/-original-imagcqpshm8kwzfy.jpeg?q=70
Blue,Star,Copper,1565 W, R-32,55 dB,3.9,130,₹40699,https://rukminim1.flixcart.com/image/312/312/kzn17680/air-conditioner-new/d/d/n/-original-imagbhp6s5gbwdhy.jpeg?q=70
ONIDA,1,Copper,1090 W, R - 32,37 dB,4.1,0,₹31999,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/q/b/5/-original-image9agdysg82gd.jpeg?q=70
IFB,1.6,Copper,5650 W, R - 32,35 dB,3.9,0,₹37980,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/air-conditioner-new/w/s/f/-original-imagdrk497uqyhqb.jpeg?q=70
Panasonic,1.5,Copper,1660 W,d: Yes,38 dB,0.0,0,₹42490,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/6/g/f/-original-imagcs6ftfbfznus.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,2,Copper,2000 W,d: No,58 dB,4.1,0,₹36763,https://rukminim1.flixcart.com/image/312/312/k8ytaq80/air-conditioner-new/n/t/d/242-lzh-2-window-fixed-speed-voltas-original-imafqv67dazzzu6g.jpeg?q=70
Panasonic,1.5,Copper,1168.9 W, R - 32,56 dB,4.0,0,₹33720,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/0/t/f/-original-imagd7cpzvgedwht.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R-32,46 dB,4.3,10156,₹42990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
Voltas,1,Copper,3450 W, R - 32,45 dB,0.0,0,₹33300,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/air-conditioner-new/z/x/s/-original-imageydaeyb5thya.jpeg?q=70
IFB,1.6,Copper,5650 W, R - 32,35 dB,3.9,0,₹37980,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/air-conditioner-new/w/s/f/-original-imagdrk497uqyhqb.jpeg?q=70
ONIDA,1.5,Copper,1820 W,erature: 58 DegreeC,51 dB,4.5,0,₹30999,https://rukminim1.flixcart.com/image/312/312/kvcpn680/air-conditioner-new/h/u/u/-original-imag89z4ccjch6sf.jpeg?q=70
Panasonic,1,Copper,990 W, R-32,45 dB,4.3,10156,₹36490,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Panasonic,1.5,Copper,1660 W,d: Yes,38 dB,0.0,0,₹42490,https://rukminim1.flixcart.com/image/312/312/l15bxjk0/air-conditioner-new/6/g/f/-original-imagcs6ftfbfznus.jpeg?q=70
LG,1.5,Copper,1015.7 kWh, R32,31 dB,3.8,0,₹45279,https://rukminim1.flixcart.com/image/312/312/ky7lci80/air-conditioner-new/a/5/h/-original-imagahqgc8cz3e7m.jpeg?q=70
Whirlpool,1.5,Copper,1890 W, R32,37 dB,4.1,0,₹36990,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/y/6/h/1-5t-3dcool-swing-pro-3s-copr-inv-i-o-1-5-split-inverter-original-imafnw9kkz3hzwyd.jpeg?q=70
Croma,1.5,Copper,1570 W, R - 32,49 dB,3.8,75,₹28490,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/e/h/-original-imagd7qhxffd2ksw.jpeg?q=70
Blue,Star,Copper,1565 W, R-32,55 dB,3.9,130,₹40699,https://rukminim1.flixcart.com/image/312/312/kzn17680/air-conditioner-new/d/d/n/-original-imagbhp6s5gbwdhy.jpeg?q=70
ONIDA,1,Copper,1090 W, R - 32,37 dB,4.1,0,₹31999,https://rukminim1.flixcart.com/image/312/312/l31x2fk0/air-conditioner-new/q/b/5/-original-image9agdysg82gd.jpeg?q=70
Panasonic,1,Copper,1095 W, R-32,45 dB,4.3,10156,₹32999,https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/air-conditioner-new/4/8/i/-original-imagchbyyxgnsztk.jpeg?q=70
Panasonic,1.5,Copper,840.75 kWh, R32,46 dB,4.8,0,₹42119,https://rukminim1.flixcart.com/image/312/312/l13whow0/air-conditioner-new/f/k/5/-original-imagcqpshm8kwzfy.jpeg?q=70
Whirlpool,1.5,Copper,1660 W,d: No,35 dB,4.1,134,₹35550,https://rukminim1.flixcart.com/image/312/312/k8ndrww0/air-conditioner-new/s/h/f/sai18k30sc0-1-5-split-inverter-whirlpool-original-imafqm2xhyjj6juq.jpeg?q=70
SAMSUNG,1.5,Copper,1490 W, R-32,45 dB,4.2,24780,₹36499,https://rukminim1.flixcart.com/image/312/312/ky3b0y80/air-conditioner-new/j/h/w/-original-imagae8qqrkkm9zv.jpeg?q=70
Lloyd,1,Copper,574.71 kWh, R-32,36 dB,4.3,452,₹37999,https://rukminim1.flixcart.com/image/312/312/kmax8y80/air-conditioner-new/t/u/c/gls12i56wrbp-split-lloyd-inverter-original-imagf8tgeq4nvxz4.jpeg?q=70
Croma,1.5,Copper,1430 W, R - 32,49 dB,0.0,0,₹28990,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/air-conditioner-new/y/w/e/-original-imagd7qhgahhhftz.jpeg?q=70
CARRIER,4,Copper,1050 W, R32,32 dB,4.3,9692,₹35999,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/d/e/p/14k-5-star-ester-nxi-inverter-r32-split-ac-split-carrier-original-imagyk2q7hxzxhtg.jpeg?q=70
Panasonic,1.5,Copper,1770 W, R-32,48 dB,4.3,10156,₹36990,https://rukminim1.flixcart.com/image/312/312/l0r1j0w0/air-conditioner-new/n/i/w/-original-imagcgg5ktjp2p3j.jpeg?q=70
